DOEID,REGIONC,DIVISION,TOTROOMS,TOTSQFT_EN,TOTHSQFT,TOTCSQFT,KWH,BTUEL,DOLLAREL,CLIMATE_REGION_PUB,TEMPHOME,TEMPGONE,TEMPNITE,NHSLDMEM,ATHOME,ENERGYASST,MONEYPY,BTUEL_TOTALS,EL_TOTALS
13660,3,5,7,2544,2168,2168,10672.352,36414.065,1315.79,Mixed-Humid,68,64,64,2,5,0,3,19859.451999999997,4
13661,3,5,8,3089,1841,1841,20998.804,71647.921,2838.74,Mixed-Humid,70,65,65,2,5,0,5,43882.666,4
13662,3,5,6,1872,1872,1872,21250.356,72506.215,2547.99,Mixed-Humid,72,72,72,3,5,0,3,55944.971000000005,5
13663,4,8,6,2259,1456,0,11082.565,37813.712,1366.3,Cold/Very Cold,65,55,55,2,5,0,2,26477.917999999998,3
13664,4,9,7,1216,1216,1216,9910.935,33816.112,1310.72,Hot-Dry/Mixed-Dry,74,74,74,3,0,0,6,25621.411,5
13665,3,7,6,1230,1230,1230,8559.776,29205.955,737.92,Mixed-Humid,74,74,74,1,5,0,2,15714.993,3
13666,3,5,5,977,977,977,15346.484,52362.203,1747.06,Mixed-Humid,75,75,70,3,5,0,3,38278.818,5
13667,2,3,6,1152,1152,1152,14286.0,48745.0,1699.0,Cold/Very Cold,75,70,75,2,1,0,2,34399.027,5
13668,4,10,5,1055,1055,0,5976.177,20390.716,833.35,Hot-Dry/Mixed-Dry,70,69,65,4,5,1,3,1548.596,2
13669,3,7,5,1956,1956,1956,12841.25,43814.345,2067.5,Hot-Humid,71,66,68,1,5,0,2,21049.09,5
13670,3,5,9,2925,1875,1875,18180.129,62030.6,2100.47,Mixed-Humid,75,70,73,5,5,0,4,38116.307,5
13671,2,3,6,1748,1748,583,28864.141,98484.45,2415.09,Cold/Very Cold,73,70,68,2,5,0,5,88151.514,5
13672,4,9,8,1216,1216,0,2294.0,7828.0,318.0,Cold/Very Cold,60,69,75,5,5,0,1,1954.909,1
13673,1,2,7,1674,1674,957,19453.581,66375.618,3087.14,Mixed-Humid,68,68,68,3,5,0,5,16243.148000000001,2
13674,3,5,5,1025,1025,1025,12019.896,41011.886,1511.83,Mixed-Humid,72,68,72,2,5,0,4,34875.015,5
13675,1,2,6,1341,1341,1341,31925.406,108929.485,5339.12,Mixed-Humid,78,68,68,3,5,0,4,76154.97099999999,5
13676,4,10,3,462,462,0,1562.568,5331.481,276.81,Marine,70,65,65,1,2,0,2,2943.672,3
13677,3,5,11,2655,2255,2655,20998.158,71645.717,2824.47,Hot-Humid,70,68,56,2,1,0,5,56149.954999999994,5
13678,2,3,7,3159,2142,2142,6027.121,20564.538,855.52,Cold/Very Cold,68,63,65,2,2,0,7,7954.282,2
13679,3,6,4,960,960,960,13904.963,47443.734,1511.06,Mixed-Humid,70,70,70,2,5,0,2,34525.248,4
13680,4,8,9,2491,2491,1465,9870.349,33677.629,1046.14,Cold/Very Cold,70,70,68,2,5,0,5,16692.574,2
13681,1,1,10,3522,3522,802,12553.65,42833.054,2236.16,Cold/Very Cold,67,67,67,4,5,0,2,13708.589,2
13682,4,10,5,1603,1603,1603,11226.909,38306.214,1028.23,Cold/Very Cold,70,70,70,3,5,0,2,28890.953,5
13683,3,7,4,770,770,770,10590.292,36134.075,1101.14,Hot-Humid,60,60,60,2,3,0,1,30653.235000000004,5
13684,4,9,7,2519,2519,2119,3644.464,12434.911,504.17,Hot-Dry/Mixed-Dry,65,60,65,2,5,0,2,4229.3279999999995,2
13685,2,4,4,700,700,0,2223.508,7586.61,401.35,Cold/Very Cold,75,75,75,1,5,0,1,3789.508,3
13686,4,10,5,890,890,890,4804.343,16392.419,651.12,Marine,65,65,65,2,3,0,3,11033.355000000001,5
13687,3,5,4,1342,0,1007,14307.211,48816.202,1591.6,Hot-Humid,-2,-2,-2,3,5,0,2,41470.623,4
13688,2,3,5,988,988,988,10423.262,35564.169,1180.17,Cold/Very Cold,66,66,66,2,5,0,3,24332.118,5
13689,3,5,11,8258,6149,6852,32469.452,110785.77,4350.82,Mixed-Humid,65,65,65,7,5,0,7,71025.147,4
13690,2,4,4,1106,1106,1106,4987.662,17017.902,579.51,Cold/Very Cold,70,66,66,2,0,0,4,7565.469,3
13691,2,4,5,1934,1934,967,7436.601,25373.683,871.07,Cold/Very Cold,68,68,70,1,1,0,4,17503.682,4
13692,3,5,6,1092,1092,364,20350.323,69435.301,2252.88,Mixed-Humid,75,68,60,4,2,0,1,46825.138000000006,5
13693,2,3,6,1338,1338,223,4521.444,15427.168,693.45,Cold/Very Cold,75,68,68,3,5,0,2,9776.096,5
13694,4,9,4,2170,2170,2170,5484.856,18714.33,724.44,Hot-Dry/Mixed-Dry,67,67,60,2,5,0,4,14042.197,5
13695,3,6,6,918,918,918,18449.459,62949.554,1990.9,Mixed-Humid,70,70,70,1,0,0,1,41310.266,5
13696,1,2,7,3120,2340,2340,6138.291,20943.849,893.69,Cold/Very Cold,71,71,71,1,5,0,1,7953.016,2
13697,3,7,6,1478,1478,1478,10144.187,34611.965,1036.11,Hot-Humid,70,68,70,4,0,0,3,26906.260000000002,2
13698,3,5,7,1755,1755,167,6522.0,22253.0,870.0,Mixed-Humid,75,65,75,5,4,0,1,7267.646,2
13699,2,3,6,1850,1850,1850,8871.636,30270.023,1205.6,Cold/Very Cold,68,64,64,1,2,0,2,20823.523999999998,3
13700,4,10,4,747,0,0,1460.733,4984.022,166.6,Marine,-2,-2,-2,4,0,0,2,1543.832,1
13701,2,3,5,1413,1413,1413,7812.992,26657.927,868.6,Mixed-Humid,74,74,74,2,5,0,1,14218.326,5
13702,3,5,4,1410,1410,1410,8458.0,28857.0,910.0,Mixed-Humid,70,70,70,2,0,0,8,21757.563,3
13703,4,8,6,1306,1306,1306,5157.743,17598.22,593.89,Cold/Very Cold,76,68,68,5,5,0,2,7259.073,3
13704,2,4,8,2400,2400,2400,15471.337,52788.2,1918.11,Mixed-Humid,70,70,70,2,5,0,8,26264.823000000004,4
13705,2,4,7,2442,1221,1221,6953.757,23726.219,782.88,Cold/Very Cold,70,68,68,4,0,0,4,9651.023,2
13706,3,7,9,2286,2286,2286,13654.0,46586.0,1657.0,Hot-Humid,68,68,68,2,5,0,6,27457.367,3
13707,1,2,4,1352,1352,676,8673.0,29591.0,2715.0,Mixed-Humid,70,70,70,2,1,0,6,24770.472,4
13708,4,8,5,1684,1684,0,7878.314,26880.806,982.61,Cold/Very Cold,68,60,62,1,0,0,4,7443.866,2
13709,1,2,5,2711,1716,686,3930.182,13409.78,673.78,Cold/Very Cold,72,68,68,2,5,0,7,5019.607,2
13710,1,1,9,3074,2866,2866,8956.941,30561.083,1729.65,Cold/Very Cold,64,64,64,2,5,0,8,13568.3,3
13711,1,1,4,949,949,475,12309.046,41998.466,2605.75,Cold/Very Cold,75,65,70,4,5,0,4,5631.676,3
13712,3,7,5,3120,1360,1360,14834.455,50615.159,2096.93,Hot-Humid,71,71,71,2,2,0,3,30038.904000000002,2
13713,1,1,9,4863,4863,3561,11601.588,39584.619,2217.12,Cold/Very Cold,66,61,66,3,3,0,6,9683.535,2
13714,3,5,1,896,896,896,8715.062,29735.792,1184.67,Mixed-Humid,73,75,73,1,5,0,2,25557.21,5
13715,2,3,3,861,861,287,3389.987,11566.634,493.93,Cold/Very Cold,85,79,79,3,4,0,1,2103.91,2
13716,1,2,5,2419,1171,468,12863.623,43890.682,2543.88,Mixed-Humid,69,69,69,2,2,0,1,26260.670000000002,4
13717,2,3,6,1620,1620,1620,6061.095,20680.456,859.47,Cold/Very Cold,69,67,67,4,5,0,3,11160.933,3
13718,1,2,8,4744,4744,4094,9782.95,33379.425,1296.23,Cold/Very Cold,68,68,68,4,5,0,8,15634.042000000001,4
13719,4,10,7,3768,1684,1684,8079.333,27566.685,2119.18,Hot-Dry/Mixed-Dry,68,75,68,2,5,0,8,12139.247,2
13720,2,3,9,3188,3188,3188,7244.065,24716.748,934.65,Cold/Very Cold,68,68,68,1,5,0,1,12044.155999999999,3
13721,3,5,5,1110,1110,0,5575.935,19025.092,844.78,Mixed-Humid,70,70,70,1,5,0,2,14017.533,3
13722,1,1,8,2515,2515,371,13431.679,45828.889,1888.28,Cold/Very Cold,70,60,60,4,0,0,7,27305.46,4
13723,3,5,8,4124,4124,4124,12563.55,42866.831,1573.68,Hot-Humid,72,70,72,2,5,0,3,33336.054000000004,5
13724,3,5,6,1974,1974,0,6088.154,20772.781,835.94,Mixed-Humid,-2,-2,-2,1,0,0,1,10704.384,2
13725,1,2,7,2510,1814,0,5160.032,17606.03,547.71,Cold/Very Cold,68,65,68,3,0,0,3,2227.147,2
13726,1,1,11,4968,3840,0,5205.201,17760.144,997.99,Cold/Very Cold,66,62,62,2,0,0,4,3006.859,1
13727,1,1,4,870,870,218,4547.552,15516.246,1224.92,Cold/Very Cold,70,70,65,2,5,0,2,8011.804,4
13728,4,10,7,3050,3050,3050,12555.0,42839.0,2062.0,Hot-Dry/Mixed-Dry,75,69,71,2,5,0,8,23724.915,2
13729,3,5,4,1059,1059,1059,5407.625,18450.816,666.26,Mixed-Humid,71,71,71,1,3,0,1,11768.643,4
13730,4,10,2,750,750,375,4059.0,13850.0,645.0,Hot-Dry/Mixed-Dry,72,72,70,1,0,0,8,3299.598,2
13731,2,3,8,1720,1360,1360,9800.188,33438.24,1171.0,Cold/Very Cold,68,68,68,2,5,0,4,18972.733,4
13732,4,10,4,650,650,0,5773.994,19700.867,430.43,Marine,69,69,69,2,5,0,3,14983.345000000001,4
13733,4,9,8,3328,3328,3328,25981.591,88649.189,2845.98,Hot-Dry/Mixed-Dry,68,72,68,2,5,0,3,62806.643,5
